Machine Module,SSA3021X Plus,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+8.000000000E+00
Attenuation,28.000000,Auto
Sweep Time,351107.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,300.000000,Manual
VBW,300.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
554667,-49.63
556000,-49.84
557333,-48.98
558667,-49.44
560000,-49.53
561333,-48.81
562667,-50.15
564000,-49.08
565333,-50.32
566667,-50.32
568000,-50.56
569333,-49.69
570667,-49.71
572000,-49.48
573333,-49.92
574667,-49.73
576000,-50.05
577333,-50.72
578667,-50.64
580000,-49.98
581333,-49.92
582667,-50.36
584000,-49.88
585333,-49.67
586667,-50.24
588000,-49.49
589333,-48.19
590667,-50.51
592000,-49.55
593333,-50.31
594667,-49.58
596000,-49.33
597333,-50.16
598667,-48.76
600000,-50.36
601333,-50.27
602667,-48.83
604000,-50.47
605333,-50.84
606667,-51.37
608000,-50.41
609333,-49.83
610667,-50.12
612000,-49.48
613333,-50.13
614667,-50.32
616000,-50.41
617333,-50.62
618667,-50.37
620000,-50.42
621333,-51.02
622667,-51.13
624000,-50.21
625333,-51.03
626667,-50.47
628000,-49.51
629333,-50.01
630667,-51.14
632000,-50.84
633333,-50.46
634667,-51.24
636000,-50.75
637333,-49.73
638667,-50.21
640000,-50.19
641333,-49.70
642667,-51.07
644000,-49.94
645333,-50.47
646667,-50.87
648000,-50.78
649333,-51.35
650667,-51.22
652000,-50.57
653333,-50.99
654667,-49.91
656000,-51.06
657333,-50.83
658667,-50.75
660000,-50.74
661333,-51.20
662667,-50.91
664000,-51.33
665333,-51.02
666667,-50.45
668000,-51.11
669333,-51.02
670667,-50.37
672000,-50.27
673333,-50.70
674667,-51.42
676000,-52.04
677333,-51.85
678667,-50.92
680000,-51.38
681333,-50.39
682667,-51.82
684000,-50.50
685333,-50.16
686667,-50.85
688000,-50.28
689333,-51.08
690667,-51.42
692000,-51.01
693333,-50.76
694667,-51.70
696000,-51.29
697333,-50.86
698667,-51.17
700000,-51.10
701333,-51.26
702667,-51.49
704000,-51.39
705333,-50.42
706667,-51.12
708000,-51.13
709333,-52.15
710667,-52.30
712000,-51.33
713333,-51.40
714667,-52.27
716000,-52.03
717333,-51.97
718667,-51.61
720000,-52.56
721333,-52.24
722667,-51.14
724000,-51.73
725333,-52.83
726667,-51.79
728000,-50.68
729333,-53.00
730667,-51.40
732000,-50.59
733333,-51.53
734667,-52.10
736000,-52.44
737333,-52.01
738667,-52.36
740000,-52.12
741333,-52.00
742667,-52.18
744000,-52.29
745333,-52.03
746667,-52.90
748000,-52.23
749333,-52.79
750667,-53.29
752000,-53.38
753333,-52.12
754667,-51.58
756000,-52.82
757333,-50.50
758667,-51.94
760000,-52.75
761333,-52.75
762667,-52.64
764000,-52.47
765333,-51.85
766667,-51.43
768000,-52.08
769333,-51.94
770667,-52.20
772000,-51.69
773333,-52.05
774667,-52.86
776000,-53.67
777333,-53.21
778667,-52.42
780000,-52.15
781333,-52.16
782667,-52.25
784000,-53.11
785333,-52.92
786667,-52.80
788000,-51.99
789333,-51.30
790667,-51.87
792000,-53.37
793333,-52.81
794667,-52.79
796000,-52.51
797333,-52.31
798667,-53.23
800000,-52.77
801333,-53.22
802667,-52.62
804000,-53.31
805333,-51.30
806667,-53.13
808000,-52.82
809333,-54.12
810667,-52.42
812000,-53.36
813333,-53.28
814667,-52.00
816000,-52.97
817333,-53.24
818667,-52.76
820000,-53.84
821333,-52.94
822667,-52.91
824000,-51.39
825333,-53.05
826667,-52.23
828000,-53.59
829333,-52.97
830667,-52.48
832000,-53.16
833333,-53.14
834667,-52.94
836000,-53.42
837333,-53.82
838667,-53.04
840000,-52.50
841333,-52.78
842667,-53.70
844000,-53.97
845333,-53.86
846667,-52.96
848000,-53.14
849333,-52.58
850667,-54.06
852000,-54.24
853333,-52.35
854667,-52.83
856000,-52.72
857333,-53.17
858667,-52.83
860000,-53.38
861333,-53.83
862667,-53.69
864000,-53.82
865333,-53.44
866667,-52.65
868000,-53.53
869333,-54.28
870667,-54.10
872000,-53.28
873333,-53.72
874667,-53.18
876000,-54.28
877333,-53.42
878667,-54.01
880000,-53.90
881333,-53.74
882667,-54.32
884000,-54.15
885333,-53.00
886667,-54.29
888000,-53.72
889333,-53.69
890667,-54.15
892000,-53.19
893333,-54.01
894667,-54.06
896000,-53.46
897333,-54.08
898667,-53.70
900000,-53.83
901333,-53.72
902667,-53.45
904000,-54.15
905333,-53.91
906667,-53.92
908000,-53.92
909333,-54.16
910667,-54.33
912000,-53.38
913333,-53.57
914667,-53.98
916000,-54.10
917333,-53.83
918667,-54.69
920000,-53.92
921333,-54.45
922667,-53.21
924000,-54.32
925333,-53.57
926667,-55.05
928000,-54.53
929333,-53.20
930667,-54.57
932000,-54.79
933333,-54.55
934667,-54.32
936000,-54.61
937333,-54.17
938667,-54.15
940000,-53.60
941333,-54.93
942667,-53.62
944000,-54.67
945333,-54.52
946667,-53.61
948000,-55.31
949333,-54.80
950667,-53.68
952000,-54.45
953333,-54.52
954667,-54.98
956000,-54.25
957333,-53.34
958667,-54.66
960000,-54.31
961333,-55.66
962667,-54.75
964000,-54.41
965333,-55.24
966667,-54.27
968000,-54.86
969333,-54.37
970667,-54.09
972000,-55.12
973333,-54.09
974667,-53.77
976000,-55.48
977333,-54.53
978667,-55.35
980000,-54.46
981333,-54.32
982667,-54.72
984000,-54.51
985333,-55.43
986667,-54.56
988000,-55.60
989333,-56.10
990667,-54.77
992000,-55.03
993333,-55.19
994667,-54.49
996000,-52.73
